cell_id,Age,batch,volume
3675195100166100064,Old,5,1252.273803710938
3675195100167100027,Old,5,1403.757690429688
3675195100182100091,Old,5,1991.443359375
3675195100198100027,Old,5,2993.718994140625
3675195100213100120,Old,5,1243.57861328125
3675195100215200133,Old,5,1184.7998046875
3675195100230200063,Old,5,2010.244262695312
3675195100243100255,Old,5,1510.18408203125
3675195100245100113,Old,5,2735.32666015625
3675195100246100065,Old,5,2315.7265625
3675195100276100042,Old,5,1888.20166015625
3675195100314100106,Old,5,2313.760986328125
3675195100315200089,Old,5,1004.900146484375
3675195100348100066,Old,5,1957.442260742188
3675195100348100266,Old,5,2464.6787109375
3675195100379100148,Old,5,1986.156616210938
3675195100411100274,Old,5,1588.081420898438
3675195100442100152,Old,5,2953.196044921875
3675195100475100125,Old,5,593.5392456054688
3675195100476100084,Old,5,2467.53564453125
3675195100476100085,Old,5,2038.455444335938
3675195100508100202,Old,5,2120.83251953125
3675195100509100299,Old,5,1158.673461914062
3675195100539100149,Old,5,3082.450927734375
3675195100540100372,Old,5,859.5889282226562
3484420000354100259,Old,6,250.0054626464844
3484420000358100041,Old,6,2368.78173828125
3484420000386100066,Old,6,3306.273193359375
3484420000387100039,Old,6,2825.162109375
3484420000419100215,Old,6,339.9426574707031
3484420000539100203,Old,6,1657.1796875
3484420000628100049,Old,6,2418.431640625
3484420000652100111,Old,6,2566.679931640625
3484420000658100024,Old,6,1282.902099609375
3484420000686100183,Old,6,2158.04638671875
3484420000715100334,Old,6,124.8288879394531
3484420000716200010,Old,6,1339.035400390625
3484420000740100180,Old,6,386.7272033691406
3484420000745100119,Old,6,2451.73388671875
3484420000747100089,Old,6,438.2914733886719
3484420000776200142,Old,6,278.2279052734375
3484420000777200024,Old,6,1733.1396484375
3484420000803100078,Old,6,2211.996337890625
3484420000803100090,Old,6,1048.614990234375
3484420000862100229,Old,6,792.4463500976562
3484420000890100063,Old,6,1795.696655273438
3484420000911100075,Old,6,2318.512939453125
3484420000915100051,Old,6,1803.919799804688
3484420000918100100,Old,6,1836.199340820312
3484420000939100185,Old,6,1837.283325195312
3484420000940100157,Old,6,187.0490264892578
3484420000944100025,Old,6,3193.66015625
3484420000944100062,Old,6,3054.4169921875
3484420000945100191,Old,6,145.7469787597656
3484420000951200090,Old,6,1157.383422851562
3484420000969100251,Old,6,210.5101013183594
3484420001002100063,Old,6,2978.31982421875
3484420001003100037,Old,6,3065.075439453125
3484420001008100017,Old,6,3165.344970703125
3484420001030100156,Old,6,946.6744384765625
3484420001035100024,Old,6,1353.051147460938
3484420001059100151,Old,6,371.2353210449219
3484420001060100011,Old,6,2861.96875
3484420001060100065,Old,6,1902.988159179688
3484420001061100135,Old,6,1773.648193359375
3495821200197100254,Yng,6,3050.06640625
3495821200221100042,Yng,6,1319.978637695312
3495821200243100017,Yng,6,235.4895324707031
3495821200293100222,Yng,6,2809.5
3495821200294100044,Yng,6,1943.358032226562
3495821200317100211,Yng,6,3093.511474609375
3495821200317200165,Yng,6,1136.824829101562
3495821200338100032,Yng,6,3334.161376953125
3495821200338100234,Yng,6,205.0321197509766
3495821200363100164,Yng,6,1104.604248046875
3495821200364100183,Yng,6,1105.215942382812
3495821200367100310,Yng,6,654.371337890625
3495821200389100480,Yng,6,367.4443969726562
3495821200390200006,Yng,6,1615.626342773438
3495821200414100522,Yng,6,598.7435913085938
3495821200415100120,Yng,6,2779.178466796875
3495821200416100046,Yng,6,3297.240234375
3495821200417100218,Yng,6,2980.78369140625
3495821200418100235,Yng,6,1644.156372070312
3495821200443100078,Yng,6,1965.97802734375
3495821200449100195,Yng,6,2906.59912109375
3495821200463100175,Yng,6,2922.935791015625
3495821200468100349,Yng,6,2506.945556640625
3495821200468200298,Yng,6,1808.559814453125
3495821200470100079,Yng,6,2618.63134765625
3495821200470100111,Yng,6,2913.213623046875
3495821200473100067,Yng,6,3010.88330078125
3495821200491100079,Yng,6,2722.35205078125
3495821200491100355,Yng,6,2923.245361328125
3495821200494100071,Yng,6,2882.536865234375
3495821200494100277,Yng,6,2034.411743164062
3495821200518100270,Yng,6,614.6969604492188
3495821200539100065,Yng,6,3293.78125
3495821200544100171,Yng,6,1315.665405273438
3495821200545100463,Yng,6,158.82470703125
3495821200568100135,Yng,6,1768.910400390625
